2017/01/10 16:28:42 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-10 
2017/01/10 16:28:43 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-15 
2017/01/10 16:28:46 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-16 
2017/01/10 16:28:46 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-11 
2017/01/10 16:28:48 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-17 
2017/01/10 16:28:50 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-12 
2017/01/10 16:28:51 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-18 
2017/01/10 16:28:53 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-19 
2017/01/10 16:28:53 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-13 
2017/01/10 16:28:56 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-20 
2017/01/10 16:28:57 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-14 
2017/01/10 16:28:58 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-21 
2017/01/10 16:29:01 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-22 
2017/01/10 16:29:01 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-15 
2017/01/10 16:29:03 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-23 
2017/01/10 16:29:05 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-16 
2017/01/10 16:29:06 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-24 
2017/01/10 16:29:08 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-25 
2017/01/10 16:29:08 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-17 
2017/01/10 16:29:11 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-26 
2017/01/10 16:29:12 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-18 
2017/01/10 16:29:13 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-27 
2017/01/10 16:29:16 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-28 
2017/01/10 16:29:16 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-19 
2017/01/10 16:29:18 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-29 
2017/01/10 16:29:20 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-20 
2017/01/10 16:29:21 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-30 
2017/01/10 16:29:23 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-31 
2017/01/10 16:29:23 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-21 
2017/01/10 16:29:26 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-32 
2017/01/10 16:29:27 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-22 
2017/01/10 16:29:28 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-33 
2017/01/10 16:29:31 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-34 
2017/01/10 16:29:31 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-23 
2017/01/10 16:29:33 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-35 
2017/01/10 16:29:35 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-24 
2017/01/10 16:29:36 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-36 
2017/01/10 16:29:38 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-37 
2017/01/10 16:29:38 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-25 
2017/01/10 16:29:41 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-38 
2017/01/10 16:29:42 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-26 
2017/01/10 16:29:43 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-39 
2017/01/10 16:29:46 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-40 
2017/01/10 16:29:46 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-27 
2017/01/10 16:29:48 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-41 
2017/01/10 16:29:50 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-28 
2017/01/10 16:29:51 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-42 
2017/01/10 16:29:53 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-43 
2017/01/10 16:29:53 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-29 
2017/01/10 16:29:56 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-44 
2017/01/10 16:29:57 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-30 
2017/01/10 16:29:58 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-45 
2017/01/10 16:30:01 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-46 
2017/01/10 16:30:01 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-31 
